回,年,イベント名,開催日,来場者数,参加コミュニティ数,参加したか
1,2004,2004,9/4,500,20,1
2,2005,2005 (東京) ,3-25-3/26,1100,33,1
3,,2005 in Hokkaido ,7/9,250,17,1
4,,2005 Tokyo/Fall ,9/17,800,35,1
5,,2005 Okinawa ,11/19,200,12,1
6,2006,2006 Spring ,3/17-3/18,1100,47,1
7,,2006 Niigata ,6/17,180,14,1
8,,2006 .DB ,6/24,250,3,
9,,2006 Hokkaido ,7/14,300,24,1
10,,2006 Tokyo/Fall ,10/28,800,46,1
11,,2006 Okinawa ,12/2,150,15,1
12,2007,2007 Tokyo/Spring ,3/16-3/17,1200,42,1
13,,2007 .DB ,6/23,250,3,
14,,2007 Hokkaido ,6/30,300,22,1
15,,2007 Kansai ,7/20-7/21,1200,35,1
16,,2007 Tokyo/Fall ,10/5-10/6,1410,45,1
17,,2007 Niigata ,10/27,80,9,1
18,,2007 Okinawa ,11/17,100,13,1
19,,2007 Fukuoka ,12/8,250,23,1
20,2008,2008 Oita ,2/15-2/16,70,10,
21,,2008 Tokyo/Spring ,2/29,1500,46,1
22,,2008 Nagaoka ,4/12,130,11,1
23,,2008 .DB ,6/7,130,3,
24,,2008 Hokkaido ,6/28,250,21,1
25,,2008 Kansai ,7/18-7/19,1150,37,1
26,,2008 Nagoya ,8/9,400,45,1
27,,2008 Shimane ,9/12-9/13,500,27,1
28,,2008 Tokyo/Fall ,10/3-10/4,1300,58,1
29,,2008 Okinawa ,11/29,100,7,1
30,,2008 Fukuoka ,12/13,450,28,1
31,2009,2009 Sendai ,1/24,280,25,1
32,,2009 Tokyo/Spring ,2/20-2/21,1450,77,1
33,,2009 Oita ,3/13-3/14,140,16,
34,,2009 Shimane ,5/16,250,19,1
35,,2009 Hokkaido ,6/20,370,29,1
36,,2009 Kansai ,7/10-7/11,1100,41,1
37,,2009 Niigata ,8/1,130,11,1
38,,2009 Nagoya ,8/22,400,38,1
39,,2009 Okinawa ,9/26,170,16,1
40,,2009 Tokyo/Fall ,10/30-10/31,1600,78,1
41,,2009 Kochi ,11/14,90,17,1
42,,2009 Fukuoka ,12/5,430,14,1
43,2010,2010 Oita ,1/23,150,9,1
44,,2010 Tokyo/Spring ,2/26-2/27,1300,76,1
45,,2010 Kansai@Kobe ,3/13,500,39,1
46,,2010 Sendai,5/22,300,26,1
47,,2010 Hokkaido ,6/26,450,42,1
48,,2010 Kansai@Kyoto,7/9-7/10,1200,51,1
49,,2010 Nagoya,8/7,450,36,1
50,,2010 Tokyo/Fall,9/9-9/10,1400,77,1
51,,2010 Okinawa,10/2,140,8,1
52,,2010 Niigata,10/23,130,14,1
53,,2010 Shimane,11/27,210,16,1
54,,2010 Fukuoka,12/11,520,30,1
55,2011,2011 Kagawa,2/5,150,28,1
56,,2011 Tokyo/Spring,3/4-3/5,2100,84,1
57,,2011 Oita,3/19,100,11,1
58,,2011 Kobe,4/16,600,41,1
59,,2011 Sendai,5/21,300,27,1
60,,2011 Hokkaido,6/11,600,27,1
61,,2011 Kansai/Kyoto,7/15-7/16,1100,56,1
62,,2011 Nagoya,8/20,600,46,1
,,OSSC Aizu,9/3,-,14,1
63,,2011 Okinawa,9/10,120,9,1
64,,2011 Hiroshima,10/1,250,36,1
65,,2011 .DB,11/5,180,11,
66,,2011 Shimane,11/12,130,12,1
67,,2011 Tokyo/Fall,11/19,1500,75,1
68,,2011 Fukuoka,12/3,420,26,1
69,2012,2012 Oita,2/11,180,13,1
70,,2012 Tokyo/Spring,3/16-3/17,1700,74,1
71,,2012 Ehime,3/24,220,34,1
72,,2012 Iwate,4/21,100,21,1
73,,2012 Nagoya,5/11-5/12,650,50,1
74,,2012 Hokkaido,6/16,650,48,1
75,,2012 Sendai,7/14,200,25,1
76,,2012 .DB,7/25,200,6,
77,,2012 Kansai/Kyoto,8/3-8/4,1200,67,1
78,,2012 Shimane,9/1,120,15,1
79,,2012 Tokyo/Fall,9/6-9/7,1450,82,1
80,,2012 Okinawa,9/22,120,16,1
81,,2012 Hiroshima,10/20,150,23,1
82,,2012 Oita(Fall),10/27,100,15,1
83,,2012 Aizu,11/3,50,17,1
84,,2012 Fukuoka,12/8,550,38,1
85,,2012 .Cloud,12/16,300,14,
86,2013,2013 Hamamatsu,2/9,200,27,1
87,,2013 Tokyo/Spring,2/22-2/23,1700,78,1
88,,2013 Tokushima,3/9,300,24,1
89,,2013 Cloud@Osaka,5/25,200,6,
90,,2013 Nagoya,6/21-22,750,42,1
91,,2013 Okinawa,7/6,170,16,1
92,,2013 Kansai@Kyoto,8/2-8/3,1300,54,1
93,,2013 Shimane,8/24,120,19,1
94,,2013 Hokkaido,9/14,600,56,1
95,,2013 Hiroshima,10/6,200,21,1
96,,2013 Tokyo/Fall,10/19-20,1300,80,1
97,,2013 Fukuoka,11/16,500,25,1
98,,2013 Oita,11/23,100,17,1
99,,2013 .Enterprise,12/13,400,8,
100,2014,2014 Tokyo/Spring,2/28-3/1,1900,82,1
101,,2014 Hamanako,3/22,150,26,1
102,,2014 Okinawa,5/24,150,21,1
103,,2014 Hokkaido,6/13-14,820,53,1
104,,2014 Nagoya,7/4-5,620,30,1
105,,2014 Kansai@Kyoto,8/1-2,1200,51,1
106,,2014 Shimane,8/24,120,15,1
107,,2014 .Enterprise@Osaka,9/5,200,1,
108,,2014 Hiroshima,9/20,200,26,1
109,,2014 Tokyo/Fall,10/18-19,1550,72,1
110,,2014 Fukuoka,11/21-22,500,23,1
111,,2014 .Enterprise,12/12,400,2,
112,2015,2015 Oita,2/7,100,14,1
113,,2015 Hamanako,2/11,130,24,1
114,,2015 Tokyo/Spring,2/27-28,1700,79,1
115,,2015 Nagoya,5/22-23,550,39,1
116,,2015 Hokkaido,6/12-13,710,55,1
117,,2015 Okinawa,7/4,100,17,1
118,,2015 Kansai@kyoto,8/7-8,1150,59,1
119,,2015 Shimane,8/22,115,17,1
120,,2015 Niigata,9/5,130,17,1
121,,2015 Hiroshima,9/19,170,17,1
122,,2015 Fukuoka,10/3,400,30,1
